distbin,District,purpose,value
1,1: Downtown,Work,3066.0
1,2: Central,Work,18227.0
1,3: North City,Work,6819.0
1,4: South Suburban,Work,3190.0
1,5: East Suburban,Work,3784.0
1,6: North County West,Work,5055.0
1,7: North County East,Work,4371.0
1,8: East County,Work,138.0
2,1: Downtown,Work,1826.0
2,2: Central,Work,15112.0
2,3: North City,Work,14469.0
2,4: South Suburban,Work,6951.0
2,5: East Suburban,Work,7970.0
2,6: North County West,Work,6716.0
2,7: North County East,Work,9982.0
2,8: East County,Work,481.0
3,1: Downtown,Work,1232.0
3,2: Central,Work,15723.0
3,3: North City,Work,16879.0
3,4: South Suburban,Work,7800.0
3,5: East Suburban,Work,8869.0
3,6: North County West,Work,8501.0
3,7: North County East,Work,11401.0
3,8: East County,Work,282.0
4,1: Downtown,Work,1137.0
4,2: Central,Work,15413.0
4,3: North City,Work,19880.0
4,4: South Suburban,Work,7254.0
4,5: East Suburban,Work,8098.0
4,6: North County West,Work,12171.0
4,7: North County East,Work,10022.0
4,8: East County,Work,219.0
5,1: Downtown,Work,1105.0
5,2: Central,Work,15104.0
5,3: North City,Work,18917.0
5,4: South Suburban,Work,6141.0
5,5: East Suburban,Work,7288.0
5,6: North County West,Work,16853.0
5,7: North County East,Work,8478.0
5,8: East County,Work,202.0
6,1: Downtown,Work,942.0
6,2: Central,Work,15425.0
6,3: North City,Work,18711.0
6,4: South Suburban,Work,5283.0
6,5: East Suburban,Work,6841.0
6,6: North County West,Work,9341.0
6,7: North County East,Work,7393.0
6,8: East County,Work,156.0
7,1: Downtown,Work,923.0
7,2: Central,Work,19464.0
7,3: North City,Work,20358.0
7,4: South Suburban,Work,6086.0
7,5: East Suburban,Work,7189.0
7,6: North County West,Work,9751.0
7,7: North County East,Work,7949.0
7,8: East County,Work,162.0
8,1: Downtown,Work,770.0
8,2: Central,Work,18257.0
8,3: North City,Work,19314.0
8,4: South Suburban,Work,6015.0
8,5: East Suburban,Work,6462.0
8,6: North County West,Work,8087.0
8,7: North County East,Work,7758.0
8,8: East County,Work,46.0
9,1: Downtown,Work,850.0
9,2: Central,Work,17289.0
9,3: North City,Work,21118.0
9,4: South Suburban,Work,7088.0
9,5: East Suburban,Work,7518.0
9,6: North County West,Work,9569.0
9,7: North County East,Work,8257.0
9,8: East County,Work,178.0
10,1: Downtown,Work,1302.0
10,2: Central,Work,16789.0
10,3: North City,Work,22547.0
10,4: South Suburban,Work,7677.0
10,5: East Suburban,Work,8985.0
10,6: North County West,Work,11681.0
10,7: North County East,Work,7401.0
10,8: East County,Work,91.0
11,1: Downtown,Work,978.0
11,2: Central,Work,15485.0
11,3: North City,Work,20557.0
11,4: South Suburban,Work,6958.0
11,5: East Suburban,Work,8960.0
11,6: North County West,Work,7901.0
11,7: North County East,Work,7068.0
11,8: East County,Work,102.0
12,1: Downtown,Work,471.0
12,2: Central,Work,14584.0
12,3: North City,Work,18672.0
12,4: South Suburban,Work,6744.0
12,5: East Suburban,Work,9159.0
12,6: North County West,Work,7864.0
12,7: North County East,Work,6624.0
12,8: East County,Work,124.0
13,1: Downtown,Work,492.0
13,2: Central,Work,12895.0
13,3: North City,Work,17114.0
13,4: South Suburban,Work,6911.0
13,5: East Suburban,Work,9215.0
13,6: North County West,Work,6543.0
13,7: North County East,Work,6309.0
13,8: East County,Work,152.0
14,1: Downtown,Work,629.0
14,2: Central,Work,11935.0
14,3: North City,Work,15704.0
14,4: South Suburban,Work,7212.0
14,5: East Suburban,Work,9179.0
14,6: North County West,Work,6691.0
14,7: North County East,Work,6035.0
14,8: East County,Work,135.0
15,1: Downtown,Work,722.0
15,2: Central,Work,9845.0
15,3: North City,Work,14057.0
15,4: South Suburban,Work,7359.0
15,5: East Suburban,Work,9770.0
15,6: North County West,Work,5926.0
15,7: North County East,Work,5660.0
15,8: East County,Work,67.0
16,1: Downtown,Work,793.0
16,2: Central,Work,8107.0
16,3: North City,Work,13152.0
16,4: South Suburban,Work,7139.0
16,5: East Suburban,Work,9693.0
16,6: North County West,Work,5783.0
16,7: North County East,Work,5110.0
16,8: East County,Work,88.0
17,1: Downtown,Work,412.0
17,2: Central,Work,6989.0
17,3: North City,Work,11998.0
17,4: South Suburban,Work,6447.0
17,5: East Suburban,Work,9550.0
17,6: North County West,Work,4748.0
17,7: North County East,Work,4854.0
17,8: East County,Work,108.0
18,1: Downtown,Work,222.0
18,2: Central,Work,5771.0
18,3: North City,Work,11417.0
18,4: South Suburban,Work,6061.0
18,5: East Suburban,Work,9212.0
18,6: North County West,Work,4512.0
18,7: North County East,Work,4470.0
18,8: East County,Work,85.0
19,1: Downtown,Work,148.0
19,2: Central,Work,4774.0
19,3: North City,Work,10405.0
19,4: South Suburban,Work,5764.0
19,5: East Suburban,Work,8792.0
19,6: North County West,Work,4867.0
19,7: North County East,Work,4245.0
19,8: East County,Work,93.0
20,1: Downtown,Work,125.0
20,2: Central,Work,4017.0
20,3: North City,Work,8812.0
20,4: South Suburban,Work,5049.0
20,5: East Suburban,Work,7793.0
20,6: North County West,Work,4186.0
20,7: North County East,Work,4174.0
20,8: East County,Work,97.0
21,1: Downtown,Work,128.0
21,2: Central,Work,3194.0
21,3: North City,Work,7553.0
21,4: South Suburban,Work,4520.0
21,5: East Suburban,Work,7040.0
21,6: North County West,Work,3593.0
21,7: North County East,Work,4083.0
21,8: East County,Work,160.0
22,1: Downtown,Work,171.0
22,2: Central,Work,2568.0
22,3: North City,Work,6564.0
22,4: South Suburban,Work,3923.0
22,5: East Suburban,Work,6230.0
22,6: North County West,Work,3217.0
22,7: North County East,Work,3664.0
22,8: East County,Work,95.0
23,1: Downtown,Work,140.0
23,2: Central,Work,1977.0
23,3: North City,Work,5433.0
23,4: South Suburban,Work,3184.0
23,5: East Suburban,Work,5539.0
23,6: North County West,Work,3243.0
23,7: North County East,Work,3595.0
23,8: East County,Work,85.0
24,1: Downtown,Work,122.0
24,2: Central,Work,1701.0
24,3: North City,Work,4806.0
24,4: South Suburban,Work,2599.0
24,5: East Suburban,Work,4660.0
24,6: North County West,Work,3114.0
24,7: North County East,Work,3678.0
24,8: East County,Work,225.0
25,1: Downtown,Work,72.0
25,2: Central,Work,1440.0
25,3: North City,Work,4060.0
25,4: South Suburban,Work,2368.0
25,5: East Suburban,Work,3763.0
25,6: North County West,Work,2861.0
25,7: North County East,Work,3358.0
25,8: East County,Work,231.0
26,1: Downtown,Work,37.0
26,2: Central,Work,1099.0
26,3: North City,Work,3413.0
26,4: South Suburban,Work,2100.0
26,5: East Suburban,Work,3003.0
26,6: North County West,Work,2786.0
26,7: North County East,Work,3364.0
26,8: East County,Work,186.0
27,1: Downtown,Work,38.0
27,2: Central,Work,773.0
27,3: North City,Work,2866.0
27,4: South Suburban,Work,1958.0
27,5: East Suburban,Work,2568.0
27,6: North County West,Work,2727.0
27,7: North County East,Work,3003.0
27,8: East County,Work,190.0
28,1: Downtown,Work,31.0
28,2: Central,Work,636.0
28,3: North City,Work,2407.0
28,4: South Suburban,Work,1605.0
28,5: East Suburban,Work,2095.0
28,6: North County West,Work,2509.0
28,7: North County East,Work,2657.0
28,8: East County,Work,185.0
29,1: Downtown,Work,23.0
29,2: Central,Work,554.0
29,3: North City,Work,1854.0
29,4: South Suburban,Work,1264.0
29,5: East Suburban,Work,1881.0
29,6: North County West,Work,2149.0
29,7: North County East,Work,2504.0
29,8: East County,Work,188.0
30,1: Downtown,Work,15.0
30,2: Central,Work,458.0
30,3: North City,Work,1586.0
30,4: South Suburban,Work,913.0
30,5: East Suburban,Work,1485.0
30,6: North County West,Work,2116.0
30,7: North County East,Work,2427.0
30,8: East County,Work,186.0
31,1: Downtown,Work,14.0
31,2: Central,Work,442.0
31,3: North City,Work,1270.0
31,4: South Suburban,Work,820.0
