distbin,purpose,freq
1,1: Work,100181
1,2: University,6225
1,3: School,16718
1,4: Escort,38317
1,5: Individual Maintenance,33596
1,6: Individual Discretionary,24476
1,7: Joint Maintenance,5547
1,8: Joint Discretionary,3764
1,9: Work-based,807
2,1: Work,465993
2,2: University,32329
2,3: School,128114
2,4: Escort,264614
2,5: Individual Maintenance,308839
2,6: Individual Discretionary,205841
2,7: Joint Maintenance,41005
2,8: Joint Discretionary,28961
2,9: Work-based,13937
3,1: Work,209399
3,2: University,12237
3,3: School,49747
3,4: Escort,110375
3,5: Individual Maintenance,95173
3,6: Individual Discretionary,73830
3,7: Joint Maintenance,13231
3,8: Joint Discretionary,10383
3,9: Work-based,2837
4,1: Work,117155
4,2: University,7004
4,3: School,32310
4,4: Escort,71556
4,5: Individual Maintenance,57079
4,6: Individual Discretionary,43854
4,7: Joint Maintenance,7979
4,8: Joint Discretionary,6237
4,9: Work-based,1552
5,1: Work,79803
5,2: University,4761
5,3: School,25887
5,4: Escort,53459
5,5: Individual Maintenance,41943
5,6: Individual Discretionary,31415
5,7: Joint Maintenance,5790
5,8: Joint Discretionary,4440
5,9: Work-based,1156
6,1: Work,60755
6,2: University,3529
6,3: School,21229
6,4: Escort,41895
6,5: Individual Maintenance,32966
6,6: Individual Discretionary,24356
6,7: Joint Maintenance,4653
6,8: Joint Discretionary,3499
6,9: Work-based,1013
7,1: Work,40531
7,2: University,2568
7,3: School,16404
7,4: Escort,33801
7,5: Individual Maintenance,27363
7,6: Individual Discretionary,19426
7,7: Joint Maintenance,3728
7,8: Joint Discretionary,2822
7,9: Work-based,775
8,1: Work,30477
8,2: University,2048
8,3: School,14287
8,4: Escort,28059
8,5: Individual Maintenance,23024
8,6: Individual Discretionary,15704
8,7: Joint Maintenance,3222
8,8: Joint Discretionary,2306
8,9: Work-based,648
9,1: Work,23695
9,2: University,1666
9,3: School,12479
9,4: Escort,23211
9,5: Individual Maintenance,19781
9,6: Individual Discretionary,13344
9,7: Joint Maintenance,2853
9,8: Joint Discretionary,1935
9,9: Work-based,521
10,1: Work,18662
10,2: University,1323
10,3: School,11196
10,4: Escort,19495
10,5: Individual Maintenance,16685
10,6: Individual Discretionary,11211
10,7: Joint Maintenance,2410
10,8: Joint Discretionary,1787
10,9: Work-based,509
11,1: Work,15273
11,2: University,1156
11,3: School,10603
11,4: Escort,16099
11,5: Individual Maintenance,14247
11,6: Individual Discretionary,9043
11,7: Joint Maintenance,2095
11,8: Joint Discretionary,1401
11,9: Work-based,439
12,1: Work,12949
12,2: University,949
12,3: School,10045
12,4: Escort,13426
12,5: Individual Maintenance,12201
12,6: Individual Discretionary,7487
12,7: Joint Maintenance,1818
12,8: Joint Discretionary,1239
12,9: Work-based,413
13,1: Work,11637
13,2: University,956
13,3: School,9228
13,4: Escort,11323
13,5: Individual Maintenance,10630
13,6: Individual Discretionary,6397
13,7: Joint Maintenance,1638
13,8: Joint Discretionary,1052
13,9: Work-based,402
14,1: Work,10561
14,2: University,810
14,3: School,9100
14,4: Escort,9640
14,5: Individual Maintenance,9257
14,6: Individual Discretionary,5481
14,7: Joint Maintenance,1426
14,8: Joint Discretionary,850
14,9: Work-based,366
15,1: Work,10347
15,2: University,824
15,3: School,8371
15,4: Escort,8133
15,5: Individual Maintenance,8204
15,6: Individual Discretionary,4437
15,7: Joint Maintenance,1228
15,8: Joint Discretionary,735
15,9: Work-based,332
16,1: Work,8744
16,2: University,662
16,3: School,8203
16,4: Escort,6836
16,5: Individual Maintenance,6843
16,6: Individual Discretionary,3678
16,7: Joint Maintenance,1069
16,8: Joint Discretionary,658
16,9: Work-based,297
17,1: Work,7681
17,2: University,643
