stop_period,purpose,freq,stop_skim_period
4.75,1: Work,9253,1: EA
4.75,2: University,55,1: EA
4.75,3: School,1126,1: EA
4.75,4: Escort,347,1: EA
4.75,5: Individual Maintenance,245,1: EA
4.75,6: Individual Discretionary,954,1: EA
4.75,7: Joint Maintenance,84,1: EA
4.75,8: Joint Discretionary,204,1: EA
4.75,9: Work-based,18,1: EA
5.25,1: Work,11283,1: EA
5.25,2: University,54,1: EA
5.25,3: School,1427,1: EA
5.25,4: Escort,1039,1: EA
5.25,5: Individual Maintenance,468,1: EA
5.25,6: Individual Discretionary,1157,1: EA
5.25,7: Joint Maintenance,116,1: EA
5.25,8: Joint Discretionary,191,1: EA
5.25,9: Work-based,29,1: EA
5.75,1: Work,25972,1: EA
5.75,2: University,51,1: EA
5.75,3: School,1732,1: EA
5.75,4: Escort,2963,1: EA
5.75,5: Individual Maintenance,684,1: EA
5.75,6: Individual Discretionary,1714,1: EA
5.75,7: Joint Maintenance,217,1: EA
5.75,8: Joint Discretionary,282,1: EA
5.75,9: Work-based,71,1: EA
6.25,1: Work,23684,2: AM
6.25,2: University,345,2: AM
6.25,3: School,1187,2: AM
6.25,4: Escort,7029,2: AM
6.25,5: Individual Maintenance,1180,2: AM
6.25,6: Individual Discretionary,2554,2: AM
6.25,7: Joint Maintenance,293,2: AM
6.25,8: Joint Discretionary,439,2: AM
6.25,9: Work-based,94,2: AM
6.75,1: Work,32808,2: AM
6.75,2: University,605,2: AM
6.75,3: School,11442,2: AM
6.75,4: Escort,13676,2: AM
6.75,5: Individual Maintenance,1888,2: AM
6.75,6: Individual Discretionary,3837,2: AM
6.75,7: Joint Maintenance,374,2: AM
6.75,8: Joint Discretionary,508,2: AM
6.75,9: Work-based,124,2: AM
7.25,1: Work,52434,2: AM
7.25,2: University,2808,2: AM
7.25,3: School,43325,2: AM
7.25,4: Escort,38742,2: AM
7.25,5: Individual Maintenance,2992,2: AM
7.25,6: Individual Discretionary,5423,2: AM
7.25,7: Joint Maintenance,490,2: AM
7.25,8: Joint Discretionary,576,2: AM
7.25,9: Work-based,169,2: AM
7.75,1: Work,72632,2: AM
7.75,2: University,4277,2: AM
7.75,3: School,61062,2: AM
7.75,4: Escort,75262,2: AM
7.75,5: Individual Maintenance,4975,2: AM
7.75,6: Individual Discretionary,9608,2: AM
7.75,7: Joint Maintenance,722,2: AM
7.75,8: Joint Discretionary,807,2: AM
