period,purpose,freq_dep,freq_arr,skim_period
4.75,1: Work,36913,44.0,1: EA
4.75,2: University,197,,1: EA
4.75,3: School,3608,7.0,1: EA
4.75,4: Escort,1224,549.0,1: EA
4.75,5: Individual Maintenance,565,71.0,1: EA
4.75,6: Individual Discretionary,2199,56.0,1: EA
4.75,7: Joint Maintenance,202,33.0,1: EA
4.75,8: Joint Discretionary,530,26.0,1: EA
4.75,9: Work-based,98,9.0,1: EA
5.25,1: Work,40995,91.0,1: EA
5.25,2: University,198,2.0,1: EA
5.25,3: School,4310,21.0,1: EA
5.25,4: Escort,2532,1440.0,1: EA
5.25,5: Individual Maintenance,896,186.0,1: EA
5.25,6: Individual Discretionary,2987,261.0,1: EA
5.25,7: Joint Maintenance,253,66.0,1: EA
5.25,8: Joint Discretionary,578,88.0,1: EA
5.25,9: Work-based,177,25.0,1: EA
5.75,1: Work,106665,205.0,1: EA
5.75,2: University,215,2.0,1: EA
5.75,3: School,5412,36.0,1: EA
5.75,4: Escort,6604,3410.0,1: EA
5.75,5: Individual Maintenance,1429,402.0,1: EA
5.75,6: Individual Discretionary,3849,660.0,1: EA
5.75,7: Joint Maintenance,327,126.0,1: EA
5.75,8: Joint Discretionary,648,178.0,1: EA
5.75,9: Work-based,367,67.0,1: EA
6.25,1: Work,59409,317.0,2: AM
6.25,2: University,1310,10.0,2: AM
6.25,3: School,3983,37.0,2: AM
6.25,4: Escort,12536,10689.0,2: AM
6.25,5: Individual Maintenance,2037,773.0,2: AM
6.25,6: Individual Discretionary,4773,1367.0,2: AM
6.25,7: Joint Maintenance,453,234.0,2: AM
6.25,8: Joint Discretionary,681,419.0,2: AM
6.25,9: Work-based,486,111.0,2: AM
6.75,1: Work,94190,465.0,2: AM
6.75,2: University,2187,21.0,2: AM
6.75,3: School,46061,75.0,2: AM
6.75,4: Escort,24169,20303.0,2: AM
6.75,5: Individual Maintenance,3252,1350.0,2: AM
6.75,6: Individual Discretionary,6231,2749.0,2: AM
6.75,7: Joint Maintenance,524,355.0,2: AM
6.75,8: Joint Discretionary,635,638.0,2: AM
6.75,9: Work-based,653,172.0,2: AM
7.25,1: Work,128647,775.0,2: AM
7.25,2: University,10000,51.0,2: AM
7.25,3: School,152846,227.0,2: AM
7.25,4: Escort,71864,48181.0,2: AM
7.25,5: Individual Maintenance,5047,2067.0,2: AM
7.25,6: Individual Discretionary,8580,3654.0,2: AM
7.25,7: Joint Maintenance,657,468.0,2: AM
7.25,8: Joint Discretionary,731,678.0,2: AM
7.25,9: Work-based,900,249.0,2: AM
7.75,1: Work,157176,1172.0,2: AM
7.75,2: University,13163,91.0,2: AM
7.75,3: School,182091,358.0,2: AM
7.75,4: Escort,140640,90632.0,2: AM
7.75,5: Individual Maintenance,8736,2432.0,2: AM
7.75,6: Individual Discretionary,14712,3917.0,2: AM
7.75,7: Joint Maintenance,972,425.0,2: AM
7.75,8: Joint Discretionary,1135,529.0,2: AM
7.75,9: Work-based,981,433.0,2: AM
8.25,1: Work,118056,1694.0,2: AM
8.25,2: University,9306,154.0,2: AM
8.25,3: School,99674,362.0,2: AM
8.25,4: Escort,95050,102486.0,2: AM
8.25,5: Individual Maintenance,15305,3155.0,2: AM
8.25,6: Individual Discretionary,15683,4537.0,2: AM
8.25,7: Joint Maintenance,1571,454.0,2: AM
8.25,8: Joint Discretionary,1038,511.0,2: AM
8.25,9: Work-based,1453,520.0,2: AM
8.75,1: Work,85784,2257.0,2: AM
8.75,2: University,10624,297.0,2: AM
8.75,3: School,52726,391.0,2: AM
8.75,4: Escort,43615,75117.0,2: AM
8.75,5: Individual Maintenance,19847,3725.0,2: AM
8.75,6: Individual Discretionary,17229,5758.0,2: AM
8.75,7: Joint Maintenance,2028,445.0,2: AM
8.75,8: Joint Discretionary,1085,459.0,2: AM
8.75,9: Work-based,1772,736.0,2: AM
9.25,1: Work,49071,2901.0,3: MD
9.25,2: University,8603,446.0,3: MD
9.25,3: School,8439,427.0,3: MD
9.25,4: Escort,10511,24854.0,3: MD
9.25,5: Individual Maintenance,25444,5128.0,3: MD
9.25,6: Individual Discretionary,18667,7440.0,3: MD
9.25,7: Joint Maintenance,2707,538.0,3: MD
9.25,8: Joint Discretionary,1192,532.0,3: MD
9.25,9: Work-based,2443,1034.0,3: MD
9.75,1: Work,29967,3818.0,3: MD
9.75,2: University,7095,670.0,3: MD
9.75,3: School,4556,415.0,3: MD
