distbin,purpose,freq
1,4: Escort,197853
1,5: Individual Maintenance,121301
1,6: Individual Discretionary,119211
1,7: Joint Maintenance,11931
1,8: Joint Discretionary,15828
1,9: Work-based,47342
2,4: Escort,206333
2,5: Individual Maintenance,154203
2,6: Individual Discretionary,98004
2,7: Joint Maintenance,10525
2,8: Joint Discretionary,13047
2,9: Work-based,18823
3,4: Escort,125589
3,5: Individual Maintenance,112650
3,6: Individual Discretionary,58900
3,7: Joint Maintenance,13230
3,8: Joint Discretionary,9991
3,9: Work-based,12190
4,4: Escort,95980
4,5: Individual Maintenance,67558
4,6: Individual Discretionary,40204
4,7: Joint Maintenance,10442
4,8: Joint Discretionary,6717
4,9: Work-based,7453
5,4: Escort,68047
5,5: Individual Maintenance,54533
5,6: Individual Discretionary,36152
5,7: Joint Maintenance,8493
5,8: Joint Discretionary,6137
5,9: Work-based,5561
6,4: Escort,51069
6,5: Individual Maintenance,39217
6,6: Individual Discretionary,21692
6,7: Joint Maintenance,6534
6,8: Joint Discretionary,3508
6,9: Work-based,2766
7,4: Escort,39193
7,5: Individual Maintenance,28111
7,6: Individual Discretionary,19455
7,7: Joint Maintenance,4695
7,8: Joint Discretionary,3247
7,9: Work-based,2756
8,4: Escort,32642
8,5: Individual Maintenance,21663
8,6: Individual Discretionary,16635
8,7: Joint Maintenance,3766
8,8: Joint Discretionary,2899
8,9: Work-based,3211
9,4: Escort,28892
9,5: Individual Maintenance,17278
9,6: Individual Discretionary,14546
9,7: Joint Maintenance,3213
9,8: Joint Discretionary,2588
9,9: Work-based,1081
10,4: Escort,27035
10,5: Individual Maintenance,16354
10,6: Individual Discretionary,13185
10,7: Joint Maintenance,3100
10,8: Joint Discretionary,2461
10,9: Work-based,1265
11,4: Escort,25134
11,5: Individual Maintenance,13421
11,6: Individual Discretionary,11054
11,7: Joint Maintenance,2663
11,8: Joint Discretionary,2007
11,9: Work-based,1296
12,4: Escort,24428
12,5: Individual Maintenance,11028
12,6: Individual Discretionary,9028
12,7: Joint Maintenance,2215
12,8: Joint Discretionary,1666
12,9: Work-based,1573
13,4: Escort,23190
13,5: Individual Maintenance,9284
13,6: Individual Discretionary,7420
13,7: Joint Maintenance,1738
13,8: Joint Discretionary,1361
13,9: Work-based,1865
14,4: Escort,22188
14,5: Individual Maintenance,7102
14,6: Individual Discretionary,5927
14,7: Joint Maintenance,1443
14,8: Joint Discretionary,1105
14,9: Work-based,1954
15,4: Escort,20632
15,5: Individual Maintenance,5327
15,6: Individual Discretionary,4727
15,7: Joint Maintenance,1156
15,8: Joint Discretionary,842
15,9: Work-based,1753
16,4: Escort,17879
16,5: Individual Maintenance,4229
16,6: Individual Discretionary,3572
16,7: Joint Maintenance,895
16,8: Joint Discretionary,623
16,9: Work-based,1515
17,4: Escort,15146
17,5: Individual Maintenance,3101
17,6: Individual Discretionary,2699
17,7: Joint Maintenance,611
17,8: Joint Discretionary,442
