tourdur,purpose,freq
0.5,1: Work,9943
0.5,2: University,577
0.5,3: School,4325
0.5,4: Escort,321135
0.5,5: Individual Maintenance,55291
0.5,6: Individual Discretionary,10166
0.5,7: Joint Maintenance,6305
0.5,8: Joint Discretionary,1567
0.5,9: Work-based,14831
1.0,1: Work,11210
1.0,2: University,474
1.0,3: School,3916
1.0,4: Escort,532883
1.0,5: Individual Maintenance,153967
1.0,6: Individual Discretionary,47911
1.0,7: Joint Maintenance,10991
1.0,8: Joint Discretionary,8072
1.0,9: Work-based,44767
1.5,1: Work,12971
1.5,2: University,382
1.5,3: School,3625
1.5,4: Escort,120884
1.5,5: Individual Maintenance,143613
1.5,6: Individual Discretionary,69567
1.5,7: Joint Maintenance,25040
1.5,8: Joint Discretionary,13103
1.5,9: Work-based,30758
2.0,1: Work,15000
2.0,2: University,2696
2.0,3: School,3526
2.0,4: Escort,29960
2.0,5: Individual Maintenance,117986
2.0,6: Individual Discretionary,94648
2.0,7: Joint Maintenance,18517
2.0,8: Joint Discretionary,16130
2.0,9: Work-based,9022
2.5,1: Work,17247
2.5,2: University,3896
2.5,3: School,3705
2.5,4: Escort,12311
2.5,5: Individual Maintenance,76774
2.5,6: Individual Discretionary,76383
2.5,7: Joint Maintenance,11212
2.5,8: Joint Discretionary,12572
2.5,9: Work-based,7687
3.0,1: Work,19455
3.0,2: University,3913
3.0,3: School,4457
3.0,4: Escort,7463
3.0,5: Individual Maintenance,50240
3.0,6: Individual Discretionary,56410
3.0,7: Joint Maintenance,6721
3.0,8: Joint Discretionary,10006
3.0,9: Work-based,1617
3.5,1: Work,21991
3.5,2: University,8197
3.5,3: School,5127
3.5,4: Escort,6340
3.5,5: Individual Maintenance,33197
3.5,6: Individual Discretionary,39669
3.5,7: Joint Maintenance,4258
3.5,8: Joint Discretionary,5785
3.5,9: Work-based,1539
4.0,1: Work,24074
4.0,2: University,10881
4.0,3: School,5918
4.0,4: Escort,4908
4.0,5: Individual Maintenance,22553
4.0,6: Individual Discretionary,30729
4.0,7: Joint Maintenance,2746
4.0,8: Joint Discretionary,3993
4.0,9: Work-based,1677
4.5,1: Work,26317
4.5,2: University,11339
4.5,3: School,7170
4.5,4: Escort,3831
4.5,5: Individual Maintenance,14934
4.5,6: Individual Discretionary,23407
4.5,7: Joint Maintenance,1616
4.5,8: Joint Discretionary,2538
4.5,9: Work-based,1191
5.0,1: Work,28105
5.0,2: University,9418
5.0,3: School,9271
5.0,4: Escort,2933
5.0,5: Individual Maintenance,10002
5.0,6: Individual Discretionary,13784
5.0,7: Joint Maintenance,1076
