stop_period,tour_purpose,freq,stop_skim_period
4.75,1: Work,38470,1: EA
4.75,2: University,210,1: EA
4.75,3: School,4187,1: EA
4.75,4: Escort,2071,1: EA
4.75,5: Individual Maintenance,748,1: EA
4.75,6: Individual Discretionary,2851,1: EA
4.75,7: Joint Maintenance,292,1: EA
4.75,8: Joint Discretionary,696,1: EA
4.75,9: Work-based,114,1: EA
5.25,1: Work,45668,1: EA
5.25,2: University,231,1: EA
5.25,3: School,5414,1: EA
5.25,4: Escort,4955,1: EA
5.25,5: Individual Maintenance,1409,1: EA
5.25,6: Individual Discretionary,3795,1: EA
5.25,7: Joint Maintenance,404,1: EA
5.25,8: Joint Discretionary,779,1: EA
5.25,9: Work-based,222,1: EA
5.75,1: Work,113994,1: EA
5.75,2: University,251,1: EA
5.75,3: School,6647,1: EA
5.75,4: Escort,12884,1: EA
5.75,5: Individual Maintenance,2336,1: EA
5.75,6: Individual Discretionary,5626,1: EA
5.75,7: Joint Maintenance,638,1: EA
5.75,8: Joint Discretionary,1045,1: EA
5.75,9: Work-based,476,1: EA
6.25,1: Work,83851,2: AM
6.25,2: University,1561,2: AM
6.25,3: School,4961,2: AM
6.25,4: Escort,29594,2: AM
6.25,5: Individual Maintenance,3779,2: AM
6.25,6: Individual Discretionary,7970,2: AM
6.25,7: Joint Maintenance,971,2: AM
6.25,8: Joint Discretionary,1497,2: AM
6.25,9: Work-based,670,2: AM
6.75,1: Work,122921,2: AM
6.75,2: University,2522,2: AM
6.75,3: School,52324,2: AM
6.75,4: Escort,58177,2: AM
6.75,5: Individual Maintenance,5942,2: AM
6.75,6: Individual Discretionary,11934,2: AM
6.75,7: Joint Maintenance,1200,2: AM
6.75,8: Joint Discretionary,1742,2: AM
6.75,9: Work-based,927,2: AM
7.25,1: Work,176991,2: AM
7.25,2: University,11282,2: AM
7.25,3: School,189139,2: AM
7.25,4: Escort,156970,2: AM
7.25,5: Individual Maintenance,9101,2: AM
7.25,6: Individual Discretionary,16356,2: AM
7.25,7: Joint Maintenance,1524,2: AM
7.25,8: Joint Discretionary,1918,2: AM
7.25,9: Work-based,1278,2: AM
7.75,1: Work,227104,2: AM
7.75,2: University,16734,2: AM
7.75,3: School,244467,2: AM
7.75,4: Escort,302511,2: AM
7.75,5: Individual Maintenance,14669,2: AM
7.75,6: Individual Discretionary,26018,2: AM
7.75,7: Joint Maintenance,1955,2: AM
7.75,8: Joint Discretionary,2330,2: AM
7.75,9: Work-based,1588,2: AM
8.25,1: Work,176011,2: AM
8.25,2: University,11575,2: AM
8.25,3: School,147999,2: AM
8.25,4: Escort,267612,2: AM
8.25,5: Individual Maintenance,23123,2: AM
8.25,6: Individual Discretionary,28865,2: AM
8.25,7: Joint Maintenance,2650,2: AM
8.25,8: Joint Discretionary,2213,2: AM
8.25,9: Work-based,2205,2: AM
8.75,1: Work,121999,2: AM
8.75,2: University,13995,2: AM
8.75,3: School,78672,2: AM
8.75,4: Escort,162081,2: AM
8.75,5: Individual Maintenance,31864,2: AM
8.75,6: Individual Discretionary,32634,2: AM
8.75,7: Joint Maintenance,3439,2: AM
8.75,8: Joint Discretionary,2223,2: AM
8.75,9: Work-based,2748,2: AM
9.25,1: Work,81005,3: MD
9.25,2: University,11252,3: MD
9.25,3: School,19454,3: MD
9.25,4: Escort,52411,3: MD
9.25,5: Individual Maintenance,43937,3: MD
9.25,6: Individual Discretionary,36954,3: MD
9.25,7: Joint Maintenance,4785,3: MD
9.25,8: Joint Discretionary,2461,3: MD
9.25,9: Work-based,3974,3: MD
9.75,1: Work,62232,3: MD
9.75,2: University,10261,3: MD
9.75,3: School,12114,3: MD
9.75,4: Escort,37892,3: MD
9.75,5: Individual Maintenance,72156,3: MD
9.75,6: Individual Discretionary,45064,3: MD
9.75,7: Joint Maintenance,7803,3: MD
9.75,8: Joint Discretionary,4473,3: MD
9.75,9: Work-based,4740,3: MD
10.25,1: Work,41174,3: MD
10.25,2: University,8910,3: MD
10.25,3: School,8967,3: MD
10.25,4: Escort,31382,3: MD
10.25,5: Individual Maintenance,115012,3: MD
10.25,6: Individual Discretionary,46776,3: MD
10.25,7: Joint Maintenance,12583,3: MD
10.25,8: Joint Discretionary,5082,3: MD
10.25,9: Work-based,6384,3: MD
10.75,1: Work,39925,3: MD
10.75,2: University,9837,3: MD
10.75,3: School,9941,3: MD
10.75,4: Escort,34043,3: MD
10.75,5: Individual Maintenance,123324,3: MD
10.75,6: Individual Discretionary,41375,3: MD
10.75,7: Joint Maintenance,13701,3: MD
10.75,8: Joint Discretionary,4550,3: MD
10.75,9: Work-based,8012,3: MD
11.25,1: Work,42279,3: MD
11.25,2: University,9012,3: MD
11.25,3: School,9725,3: MD
11.25,4: Escort,33197,3: MD
11.25,5: Individual Maintenance,116564,3: MD
11.25,6: Individual Discretionary,45733,3: MD
11.25,7: Joint Maintenance,13154,3: MD
11.25,8: Joint Discretionary,5412,3: MD
11.25,9: Work-based,10604,3: MD
11.75,1: Work,45718,3: MD
11.75,2: University,10534,3: MD
11.75,3: School,11847,3: MD
11.75,4: Escort,34188,3: MD
11.75,5: Individual Maintenance,116515,3: MD
11.75,6: Individual Discretionary,50417,3: MD
11.75,7: Joint Maintenance,13498,3: MD
11.75,8: Joint Discretionary,6115,3: MD
11.75,9: Work-based,28158,3: MD
12.25,1: Work,47541,3: MD
12.25,2: University,17317,3: MD
12.25,3: School,14676,3: MD
12.25,4: Escort,36801,3: MD
12.25,5: Individual Maintenance,105226,3: MD
12.25,6: Individual Discretionary,48148,3: MD
12.25,7: Joint Maintenance,12316,3: MD
12.25,8: Joint Discretionary,5908,3: MD
12.25,9: Work-based,41181,3: MD
12.75,1: Work,54262,3: MD
12.75,2: University,11257,3: MD
12.75,3: School,18809,3: MD
12.75,4: Escort,40551,3: MD
12.75,5: Individual Maintenance,102166,3: MD
12.75,6: Individual Discretionary,40983,3: MD
12.75,7: Joint Maintenance,11590,3: MD
12.75,8: Joint Discretionary,5320,3: MD
12.75,9: Work-based,48300,3: MD
13.25,1: Work,60494,3: MD
13.25,2: University,9837,3: MD
13.25,3: School,23340,3: MD
13.25,4: Escort,45176,3: MD
13.25,5: Individual Maintenance,98503,3: MD
13.25,6: Individual Discretionary,41981,3: MD
13.25,7: Joint Maintenance,10906,3: MD
13.25,8: Joint Discretionary,5282,3: MD
13.25,9: Work-based,29936,3: MD
13.75,1: Work,68137,3: MD
13.75,2: University,10120,3: MD
13.75,3: School,28319,3: MD
13.75,4: Escort,88692,3: MD
13.75,5: Individual Maintenance,99791,3: MD
13.75,6: Individual Discretionary,41729,3: MD
13.75,7: Joint Maintenance,10705,3: MD
13.75,8: Joint Discretionary,5183,3: MD
13.75,9: Work-based,16137,3: MD
14.25,1: Work,90442,3: MD
14.25,2: University,9385,3: MD
14.25,3: School,69507,3: MD
14.25,4: Escort,190146,3: MD
14.25,5: Individual Maintenance,92678,3: MD
14.25,6: Individual Discretionary,36354,3: MD
14.25,7: Joint Maintenance,10081,3: MD
14.25,8: Joint Discretionary,4904,3: MD
14.25,9: Work-based,10825,3: MD
14.75,1: Work,97675,3: MD
14.75,2: University,9170,3: MD
14.75,3: School,171163,3: MD
14.75,4: Escort,243012,3: MD
14.75,5: Individual Maintenance,91669,3: MD
14.75,6: Individual Discretionary,38395,3: MD
14.75,7: Joint Maintenance,10328,3: MD
14.75,8: Joint Discretionary,5424,3: MD
14.75,9: Work-based,7552,3: MD
15.25,1: Work,132531,3: MD
15.25,2: University,9743,3: MD
15.25,3: School,166386,3: MD
15.25,4: Escort,230675,3: MD
15.25,5: Individual Maintenance,89629,3: MD
15.25,6: Individual Discretionary,37972,3: MD
15.25,7: Joint Maintenance,10294,3: MD
