trip_mode,tour_mode,purpose,value
01: SOV,01: SOV,1: Work,2528171
01: SOV,01: SOV,2: University,140017
01: SOV,01: SOV,3: School,38006
01: SOV,01: SOV,4: Escort,689523
01: SOV,01: SOV,5: Individual Maintenance,940928
01: SOV,01: SOV,6: Individual Discretionary,539052
01: SOV,01: SOV,9: Work-based,136879
01: SOV,02: Shared Ride 2,1: Work,300620
01: SOV,02: Shared Ride 2,2: University,17723
01: SOV,02: Shared Ride 2,3: School,415
01: SOV,02: Shared Ride 2,4: Escort,275691
01: SOV,02: Shared Ride 2,5: Individual Maintenance,147364
01: SOV,02: Shared Ride 2,6: Individual Discretionary,69148
01: SOV,02: Shared Ride 2,9: Work-based,5073
01: SOV,03: Shared Ride 3+,1: Work,116478
01: SOV,03: Shared Ride 3+,2: University,5461
01: SOV,03: Shared Ride 3+,3: School,2882
01: SOV,03: Shared Ride 3+,4: Escort,110511
01: SOV,03: Shared Ride 3+,5: Individual Maintenance,67367
01: SOV,03: Shared Ride 3+,6: Individual Discretionary,26603
01: SOV,03: Shared Ride 3+,9: Work-based,769
01: SOV,07: PNR to Transit,1: Work,1792
01: SOV,07: PNR to Transit,2: University,179
01: SOV,07: PNR to Transit,4: Escort,4
01: SOV,07: PNR to Transit,5: Individual Maintenance,104
02: Shared Ride 2,02: Shared Ride 2,1: Work,321650
02: Shared Ride 2,02: Shared Ride 2,2: University,36738
02: Shared Ride 2,02: Shared Ride 2,3: School,546275
02: Shared Ride 2,02: Shared Ride 2,4: Escort,655177
02: Shared Ride 2,02: Shared Ride 2,5: Individual Maintenance,288601
02: Shared Ride 2,02: Shared Ride 2,6: Individual Discretionary,263200
02: Shared Ride 2,02: Shared Ride 2,7: Joint Maintenance,191600
02: Shared Ride 2,02: Shared Ride 2,8: Joint Discretionary,117180
02: Shared Ride 2,02: Shared Ride 2,9: Work-based,35536
02: Shared Ride 2,03: Shared Ride 3+,1: Work,39886
02: Shared Ride 2,03: Shared Ride 3+,2: University,4871
02: Shared Ride 2,03: Shared Ride 3+,3: School,126010
02: Shared Ride 2,03: Shared Ride 3+,4: Escort,217232
02: Shared Ride 2,03: Shared Ride 3+,5: Individual Maintenance,126562
02: Shared Ride 2,03: Shared Ride 3+,6: Individual Discretionary,52843
02: Shared Ride 2,03: Shared Ride 3+,7: Joint Maintenance,5862
02: Shared Ride 2,03: Shared Ride 3+,8: Joint Discretionary,2713
02: Shared Ride 2,03: Shared Ride 3+,9: Work-based,1733
02: Shared Ride 2,06: Walk to Transit,1: Work,4532
02: Shared Ride 2,06: Walk to Transit,2: University,2201
02: Shared Ride 2,06: Walk to Transit,4: Escort,1
02: Shared Ride 2,06: Walk to Transit,5: Individual Maintenance,387
02: Shared Ride 2,06: Walk to Transit,6: Individual Discretionary,1940
02: Shared Ride 2,06: Walk to Transit,7: Joint Maintenance,180
02: Shared Ride 2,06: Walk to Transit,8: Joint Discretionary,7
02: Shared Ride 2,07: PNR to Transit,1: Work,1698
02: Shared Ride 2,07: PNR to Transit,2: University,906
02: Shared Ride 2,07: PNR to Transit,3: School,1
02: Shared Ride 2,07: PNR to Transit,5: Individual Maintenance,21
02: Shared Ride 2,07: PNR to Transit,6: Individual Discretionary,131
02: Shared Ride 2,08: KNR to Transit,1: Work,7426
02: Shared Ride 2,08: KNR to Transit,2: University,2409
02: Shared Ride 2,08: KNR to Transit,3: School,207
02: Shared Ride 2,08: KNR to Transit,4: Escort,2
02: Shared Ride 2,08: KNR to Transit,5: Individual Maintenance,516
02: Shared Ride 2,08: KNR to Transit,6: Individual Discretionary,969
02: Shared Ride 2,08: KNR to Transit,7: Joint Maintenance,73
02: Shared Ride 2,08: KNR to Transit,8: Joint Discretionary,323
02: Shared Ride 2,09: TNC to Transit,1: Work,6
02: Shared Ride 2,09: TNC to Transit,6: Individual Discretionary,444
02: Shared Ride 2,10: Taxi,1: Work,36
02: Shared Ride 2,10: Taxi,2: University,1
02: Shared Ride 2,10: Taxi,4: Escort,34
02: Shared Ride 2,10: Taxi,5: Individual Maintenance,75
02: Shared Ride 2,10: Taxi,6: Individual Discretionary,277
02: Shared Ride 2,10: Taxi,7: Joint Maintenance,162
02: Shared Ride 2,10: Taxi,8: Joint Discretionary,183
02: Shared Ride 2,11: TNC Single,1: Work,76
02: Shared Ride 2,11: TNC Single,4: Escort,33
02: Shared Ride 2,11: TNC Single,5: Individual Maintenance,116
02: Shared Ride 2,11: TNC Single,6: Individual Discretionary,325
02: Shared Ride 2,11: TNC Single,7: Joint Maintenance,192
02: Shared Ride 2,11: TNC Single,8: Joint Discretionary,220
02: Shared Ride 2,12: TNC Shared,1: Work,893
02: Shared Ride 2,12: TNC Shared,2: University,23
02: Shared Ride 2,12: TNC Shared,4: Escort,1038
02: Shared Ride 2,12: TNC Shared,5: Individual Maintenance,1257
02: Shared Ride 2,12: TNC Shared,6: Individual Discretionary,1625
02: Shared Ride 2,12: TNC Shared,7: Joint Maintenance,757
02: Shared Ride 2,12: TNC Shared,8: Joint Discretionary,1172
03: Shared Ride 3+,02: Shared Ride 2,3: School,35065
03: Shared Ride 3+,03: Shared Ride 3+,1: Work,106823
03: Shared Ride 3+,03: Shared Ride 3+,2: University,25398
03: Shared Ride 3+,03: Shared Ride 3+,3: School,635267
03: Shared Ride 3+,03: Shared Ride 3+,4: Escort,848844
03: Shared Ride 3+,03: Shared Ride 3+,5: Individual Maintenance,344604
03: Shared Ride 3+,03: Shared Ride 3+,6: Individual Discretionary,238451
