jtf,alt_name,survey_freq,model_freq
1,No Joint Tours,985690.6425,1055057
2,1 Shopping,26128.14965,27367
3,1 Maintenance,28672.0036,31144
4,1 Eating Out,25821.83914,15123
5,1 Visiting,5614.435815,10795
6,1 Other Discretionary,31933.3933,29710
7,2 Shopping,667.1610133,1792
8,1 Shopping / 1 Maintenance,376.86528,1465
9,1 Shopping / 1 Eating Out,399.7526333,282
10,1 Shopping / 1 Visiting,176.67895,297
11,1 Shopping / 1 Other Discretionary,1144.791057,1567
12,2 Maintenance,702.3814233,6309
13,1 Maintenance / 1 Eating Out,1126.798255,1061
14,1 Maintenance / 1 Visiting,54.17708,1660
15,1 Maintenance / 1 Other Discretionary,1629.89825,3521
16,2 Eating Out,729.85876,1406
17,1 Eating Out / 1 Visiting,62.58902,2284
18,1 Eating Out / 1 Other Discretionary,538.0249267,3789
19,2 Visiting,296.60538,195
20,1 Visiting / 1 Other Discretionary,1560.461882,1026
21,2 Other Discretionary,297.4247533,1276
