distbin,District,purpose,survey_value,model_value
1,1: Downtown,Work,7151.0776,3066.0
2,1: Downtown,Work,1220.9641,1826.0
3,1: Downtown,Work,1303.9622,1232.0
4,1: Downtown,Work,282.7968,1137.0
5,1: Downtown,Work,269.7468,1105.0
6,1: Downtown,Work,974.2289,942.0
7,1: Downtown,Work,246.3954,923.0
8,1: Downtown,Work,257.8277,770.0
9,1: Downtown,Work,752.292,850.0
10,1: Downtown,Work,634.9438,1302.0
11,1: Downtown,Work,39.391,978.0
12,1: Downtown,Work,117.5281,471.0
13,1: Downtown,Work,308.2377,492.0
14,1: Downtown,Work,141.3186,629.0
15,1: Downtown,Work,1124.1999,722.0
16,1: Downtown,Work,832.4856,793.0
17,1: Downtown,Work,263.7868,412.0
18,1: Downtown,Work,325.0575,222.0
19,1: Downtown,Work,75.5493,148.0
20,1: Downtown,Work,39.5185,125.0
21,1: Downtown,Work,148.5119,128.0
22,1: Downtown,Work,79.0174,171.0
23,1: Downtown,Work,39.521,140.0
24,1: Downtown,Work,420.3247,122.0
25,1: Downtown,Work,59.3041,72.0
26,1: Downtown,Work,19.7672,37.0
27,1: Downtown,Work,19.7455,38.0
28,1: Downtown,Work,0.0,31.0
29,1: Downtown,Work,0.0,23.0
30,1: Downtown,Work,0.0,15.0
31,1: Downtown,Work,0.0,14.0
32,1: Downtown,Work,19.7514,38.0
33,1: Downtown,Work,0.0,37.0
34,1: Downtown,Work,19.7672,46.0
35,1: Downtown,Work,19.7455,34.0
36,1: Downtown,Work,19.7672,24.0
37,1: Downtown,Work,0.0,9.0
38,1: Downtown,Work,0.0,18.0
39,1: Downtown,Work,0.0,11.0
40,1: Downtown,Work,19.7415,3.0
41,1: Downtown,Work,0.0,10.0
42,1: Downtown,Work,19.7672,4.0
43,1: Downtown,Work,0.0,6.0
44,1: Downtown,Work,0.0,2.0
45,1: Downtown,Work,0.0,1.0
46,1: Downtown,Work,0.0,0.0
47,1: Downtown,Work,0.0,0.0
48,1: Downtown,Work,0.0,1.0
49,1: Downtown,Work,0.0,1.0
50,1: Downtown,Work,0.0,0.0
51,1: Downtown,Work,0.0,0.0
1,2: Central,Work,2633.6942,18227.0
2,2: Central,Work,12812.1103,15112.0
3,2: Central,Work,7299.0481,15723.0
4,2: Central,Work,16792.8212,15413.0
5,2: Central,Work,8014.5758,15104.0
6,2: Central,Work,12030.4317,15425.0
7,2: Central,Work,12903.6501,19464.0
8,2: Central,Work,14886.9029,18257.0
9,2: Central,Work,14424.944,17289.0
10,2: Central,Work,17645.7837,16789.0
11,2: Central,Work,10436.1809,15485.0
12,2: Central,Work,7202.8715,14584.0
13,2: Central,Work,10783.7743,12895.0
14,2: Central,Work,6085.3853,11935.0
15,2: Central,Work,12696.0062,9845.0
16,2: Central,Work,7961.4081,8107.0
17,2: Central,Work,6827.9988,6989.0
18,2: Central,Work,3213.8226,5771.0
19,2: Central,Work,7770.0669,4774.0
20,2: Central,Work,3355.8469,4017.0
21,2: Central,Work,446.864,3194.0
