PERTYPE,imf_choice,survey_freq,model_freq
1: Full-Time Worker,1 Work,846054.4142,848683.0
1: Full-Time Worker,2+ Work,50518.63182,48346.0
1: Full-Time Worker,1 School,14228.0295,0.0
1: Full-Time Worker,2+ School,1011.9394,0.0
1: Full-Time Worker,1 Work & 1 School,6388.027516,0.0
2: Part-Time Worker,1 Work,110079.3489,180222.0
2: Part-Time Worker,2+ Work,11150.48795,13466.0
2: Part-Time Worker,1 School,0.0,0.0
2: Part-Time Worker,2+ School,0.0,0.0
2: Part-Time Worker,1 Work & 1 School,0.0,0.0
3: University Student,1 Work,38979.82561,14056.0
3: University Student,2+ Work,1136.130513,0.0
3: University Student,1 School,137596.1873,87045.0
3: University Student,2+ School,13085.76977,5410.0
3: University Student,1 Work & 1 School,7123.616831,11958.0
6: Driving Aged Student,1 Work,2869.019827,0.0
6: Driving Aged Student,2+ Work,22.40428757,0.0
6: Driving Aged Student,1 School,69466.14854,76632.0
6: Driving Aged Student,2+ School,3058.01762,4016.0
6: Driving Aged Student,1 Work & 1 School,1391.41896,1000.0
7: Non-Driving Aged Student,1 Work,0.0,0.0
7: Non-Driving Aged Student,2+ Work,0.0,0.0
7: Non-Driving Aged Student,1 School,262950.6121,438741.0
7: Non-Driving Aged Student,2+ School,16312.72721,5592.0
7: Non-Driving Aged Student,1 Work & 1 School,0.0,0.0
8: Child To Young for School,1 Work,0.0,0.0
8: Child To Young for School,2+ Work,0.0,0.0
8: Child To Young for School,1 School,45427.07452,59604.0
8: Child To Young for School,2+ School,459.1745767,0.0
8: Child To Young for School,1 Work & 1 School,0.0,0.0
Total,1 Work,997982.6086,1042961.0
Total,2+ Work,62827.65457,61812.0
Total,1 School,529668.052,662022.0
Total,2+ School,33927.62858,15018.0
Total,1 Work & 1 School,14903.06331,12958.0
