distbin,purpose,survey_freq,model_freq
1,1: Work,73777.0,100181
10,1: Work,14606.0,18662
11,1: Work,17929.0,15273
12,1: Work,15259.0,12949
13,1: Work,11671.0,11637
14,1: Work,7545.0,10561
15,1: Work,5033.0,10347
16,1: Work,7129.0,8744
17,1: Work,6481.0,7681
18,1: Work,5016.0,7413
19,1: Work,3442.0,6522
2,1: Work,467218.0,465993
20,1: Work,5799.0,6058
21,1: Work,3153.0,5490
22,1: Work,2940.0,4905
23,1: Work,3041.0,4318
24,1: Work,3253.0,3991
25,1: Work,2704.0,3566
26,1: Work,3494.0,3384
27,1: Work,1093.0,2944
28,1: Work,2828.0,2819
29,1: Work,2090.0,2720
3,1: Work,183512.0,209399
30,1: Work,1563.0,2449
31,1: Work,1047.0,2035
32,1: Work,733.0,1950
33,1: Work,2009.0,1564
34,1: Work,4882.0,1432
35,1: Work,575.0,1376
36,1: Work,3850.0,1157
37,1: Work,1043.0,1090
38,1: Work,108.0,1216
39,1: Work,412.0,801
4,1: Work,104804.0,117155
40,1: Work,265.0,691
41,1: Work,1056.0,671
42,1: Work,7872.0,869
5,1: Work,80712.0,79803
6,1: Work,44207.0,60755
7,1: Work,45635.0,40531
8,1: Work,23846.0,30477
9,1: Work,21622.0,23695
1,2: University,11570.0,6225
10,2: University,3328.0,1323
11,2: University,1706.0,1156
12,2: University,789.0,949
13,2: University,351.0,956
14,2: University,407.0,810
15,2: University,2107.0,824
16,2: University,178.0,662
17,2: University,547.0,643
18,2: University,780.0,620
19,2: University,1608.0,514
2,2: University,104527.0,32329
20,2: University,52.0,474
21,2: University,1358.0,421
22,2: University,26.0,440
23,2: University,29.0,314
24,2: University,647.0,311
25,2: University,346.0,267
26,2: University,85.0,241
27,2: University,332.0,246
28,2: University,608.0,221
29,2: University,174.0,165
3,2: University,23079.0,12237
30,2: University,70.0,176
31,2: University,0.0,141
32,2: University,430.0,149
33,2: University,209.0,125
34,2: University,10.0,108
35,2: University,0.0,102
36,2: University,0.0,80
37,2: University,0.0,65
38,2: University,0.0,61
39,2: University,50.0,46
4,2: University,14953.0,7004
40,2: University,0.0,51
41,2: University,0.0,39
42,2: University,596.0,36
5,2: University,8339.0,4761
6,2: University,6767.0,3529
7,2: University,2374.0,2568
8,2: University,1607.0,2048
9,2: University,3957.0,1666
1,3: School,12624.0,16718
10,3: School,7226.0,11196
11,3: School,2966.0,10603
12,3: School,4068.0,10045
13,3: School,1121.0,9228
14,3: School,1343.0,9100
15,3: School,1110.0,8371
16,3: School,1245.0,8203
17,3: School,476.0,7377
18,3: School,247.0,7015
19,3: School,1235.0,6409
2,3: School,162947.0,128114
20,3: School,1545.0,6024
21,3: School,111.0,5429
22,3: School,806.0,5098
23,3: School,175.0,4844
24,3: School,104.0,4298
25,3: School,129.0,4226
26,3: School,89.0,3944
27,3: School,89.0,3621
28,3: School,264.0,3391
29,3: School,73.0,3077
3,3: School,49120.0,49747
30,3: School,26.0,2912
31,3: School,593.0,2595
32,3: School,0.0,2319
33,3: School,322.0,2273
34,3: School,32.0,2123
35,3: School,325.0,1954
36,3: School,0.0,1709
37,3: School,43.0,1487
38,3: School,62.0,1495
39,3: School,0.0,1270
4,3: School,24505.0,32310
40,3: School,54.0,1203
41,3: School,0.0,1095
42,3: School,1514.0,1041
5,3: School,21741.0,25887
6,3: School,13535.0,21229
7,3: School,4184.0,16404
8,3: School,5355.0,14287
9,3: School,4965.0,12479
1,4: Escort,18362.0,38317
10,4: Escort,3057.0,19495
11,4: Escort,2527.0,16099
12,4: Escort,5180.0,13426
13,4: Escort,4222.0,11323
14,4: Escort,4221.0,9640
15,4: Escort,672.0,8133
16,4: Escort,746.0,6836
17,4: Escort,202.0,5595
18,4: Escort,94.0,4798
