OwnershipCategory,tour_mode,purpose,survey_freq,model_freq
0: No Vehicles,01: SOV,1: Work,5898.0,9298.0
0: No Vehicles,02: Shared Ride 2,1: Work,9426.0,13853.0
0: No Vehicles,03: Shared Ride 3+,1: Work,0.0,166.0
0: No Vehicles,04: Walk,1: Work,6309.0,9500.0
0: No Vehicles,05: Bike,1: Work,3580.0,617.0
0: No Vehicles,06: Walk to Transit,1: Work,10877.0,10328.0
0: No Vehicles,07: PNR to Transit,1: Work,0.0,0.0
0: No Vehicles,08: KNR to Transit,1: Work,2073.0,1673.0
0: No Vehicles,09: TNC to Transit,1: Work,0.0,0.0
0: No Vehicles,01: SOV,2: University,7.0,1.0
0: No Vehicles,02: Shared Ride 2,2: University,923.0,1737.0
0: No Vehicles,03: Shared Ride 3+,2: University,113.0,149.0
0: No Vehicles,04: Walk,2: University,50.0,0.0
0: No Vehicles,05: Bike,2: University,174.0,287.0
0: No Vehicles,06: Walk to Transit,2: University,3678.0,3862.0
0: No Vehicles,07: PNR to Transit,2: University,0.0,0.0
0: No Vehicles,08: KNR to Transit,2: University,368.0,388.0
0: No Vehicles,09: TNC to Transit,2: University,3.0,0.0
0: No Vehicles,01: SOV,3: School,73.0,0.0
0: No Vehicles,02: Shared Ride 2,3: School,2267.0,5706.0
0: No Vehicles,03: Shared Ride 3+,3: School,263.0,459.0
0: No Vehicles,04: Walk,3: School,7978.0,6162.0
0: No Vehicles,05: Bike,3: School,0.0,268.0
0: No Vehicles,06: Walk to Transit,3: School,699.0,1138.0
0: No Vehicles,07: PNR to Transit,3: School,0.0,0.0
0: No Vehicles,08: KNR to Transit,3: School,44.0,0.0
0: No Vehicles,09: TNC to Transit,3: School,10586.0,0.0
0: No Vehicles,01: SOV,5: Individual Maintenance,4068.0,7668.0
0: No Vehicles,02: Shared Ride 2,5: Individual Maintenance,13504.0,5187.0
0: No Vehicles,03: Shared Ride 3+,5: Individual Maintenance,4570.0,1185.0
0: No Vehicles,04: Walk,5: Individual Maintenance,24546.0,16207.0
0: No Vehicles,05: Bike,5: Individual Maintenance,4409.0,1144.0
0: No Vehicles,06: Walk to Transit,5: Individual Maintenance,5748.0,5848.0
0: No Vehicles,07: PNR to Transit,5: Individual Maintenance,0.0,0.0
0: No Vehicles,08: KNR to Transit,5: Individual Maintenance,613.0,457.0
0: No Vehicles,09: TNC to Transit,5: Individual Maintenance,0.0,0.0
0: No Vehicles,01: SOV,6: Individual Discretionary,313.0,631.0
0: No Vehicles,02: Shared Ride 2,6: Individual Discretionary,4389.0,5192.0
0: No Vehicles,03: Shared Ride 3+,6: Individual Discretionary,936.0,1129.0
0: No Vehicles,04: Walk,6: Individual Discretionary,6965.0,9204.0
0: No Vehicles,05: Bike,6: Individual Discretionary,2845.0,1087.0
0: No Vehicles,06: Walk to Transit,6: Individual Discretionary,3774.0,4210.0
0: No Vehicles,07: PNR to Transit,6: Individual Discretionary,0.0,0.0
0: No Vehicles,08: KNR to Transit,6: Individual Discretionary,1163.0,1121.0
0: No Vehicles,09: TNC to Transit,6: Individual Discretionary,0.0,0.0
0: No Vehicles,01: SOV,7: Joint Maintenance,0.0,0.0
0: No Vehicles,02: Shared Ride 2,7: Joint Maintenance,2588.0,0.0
0: No Vehicles,03: Shared Ride 3+,7: Joint Maintenance,78.0,0.0
0: No Vehicles,04: Walk,7: Joint Maintenance,223.0,0.0
0: No Vehicles,05: Bike,7: Joint Maintenance,0.0,0.0
0: No Vehicles,06: Walk to Transit,7: Joint Maintenance,961.0,0.0
0: No Vehicles,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
0: No Vehicles,08: KNR to Transit,7: Joint Maintenance,27.0,0.0
0: No Vehicles,09: TNC to Transit,7: Joint Maintenance,0.0,0.0
0: No Vehicles,01: SOV,8: Joint Discretionary,0.0,0.0
0: No Vehicles,02: Shared Ride 2,8: Joint Discretionary,1129.0,0.0
0: No Vehicles,03: Shared Ride 3+,8: Joint Discretionary,0.0,0.0
0: No Vehicles,04: Walk,8: Joint Discretionary,544.0,0.0
0: No Vehicles,05: Bike,8: Joint Discretionary,0.0,0.0
0: No Vehicles,06: Walk to Transit,8: Joint Discretionary,507.0,0.0
0: No Vehicles,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
0: No Vehicles,08: KNR to Transit,8: Joint Discretionary,95.0,0.0
0: No Vehicles,09: TNC to Transit,8: Joint Discretionary,0.0,0.0
0: No Vehicles,01: SOV,9: Work-based,0.0,0.0
0: No Vehicles,02: Shared Ride 2,9: Work-based,611.0,709.0
0: No Vehicles,03: Shared Ride 3+,9: Work-based,0.0,1.0
0: No Vehicles,04: Walk,9: Work-based,1482.0,1859.0
0: No Vehicles,05: Bike,9: Work-based,431.0,449.0
0: No Vehicles,06: Walk to Transit,9: Work-based,208.0,201.0
0: No Vehicles,07: PNR to Transit,9: Work-based,0.0,0.0
0: No Vehicles,08: KNR to Transit,9: Work-based,8.0,0.0
0: No Vehicles,09: TNC to Transit,9: Work-based,0.0,0.0
0: No Vehicles,01: SOV,Total,10358.0,21998.0
0: No Vehicles,02: Shared Ride 2,Total,34836.0,39665.0
0: No Vehicles,03: Shared Ride 3+,Total,5962.0,5724.0
0: No Vehicles,04: Walk,Total,48098.0,47884.0
0: No Vehicles,05: Bike,Total,11439.0,4044.0
0: No Vehicles,06: Walk to Transit,Total,26452.0,25624.0
0: No Vehicles,07: PNR to Transit,Total,0.0,0.0
0: No Vehicles,08: KNR to Transit,Total,4392.0,3640.0
0: No Vehicles,09: TNC to Transit,Total,10588.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,1: Work,183788.0,185073.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,1: Work,66918.0,67365.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,1: Work,12000.0,13184.0
1: 1+ Veh/Adults > Veh,04: Walk,1: Work,3446.0,4163.0
1: 1+ Veh/Adults > Veh,05: Bike,1: Work,10150.0,8900.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,1: Work,18732.0,18951.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,1: Work,1763.0,1346.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,1: Work,4870.0,4887.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,1: Work,0.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,2: University,8715.0,10341.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,2: University,7373.0,8497.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,2: University,4412.0,4568.0
1: 1+ Veh/Adults > Veh,04: Walk,2: University,2342.0,2899.0
1: 1+ Veh/Adults > Veh,05: Bike,2: University,514.0,1332.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,2: University,10506.0,10032.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,2: University,602.0,877.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,2: University,1940.0,1610.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,2: University,13.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,3: School,4726.0,2235.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,3: School,17227.0,44025.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,3: School,53769.0,33550.0
1: 1+ Veh/Adults > Veh,04: Walk,3: School,16302.0,9083.0
1: 1+ Veh/Adults > Veh,05: Bike,3: School,1524.0,783.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,3: School,3964.0,3586.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,3: School,19.0,1.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,3: School,589.0,635.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,3: School,30417.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,5: Individual Maintenance,115094.0,50296.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,5: Individual Maintenance,162934.0,42937.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,5: Individual Maintenance,146802.0,33165.0
1: 1+ Veh/Adults > Veh,04: Walk,5: Individual Maintenance,44643.0,27537.0
1: 1+ Veh/Adults > Veh,05: Bike,5: Individual Maintenance,931.0,251.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,5: Individual Maintenance,5025.0,4746.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,5: Individual Maintenance,87.0,237.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,5: Individual Maintenance,893.0,837.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,5: Individual Maintenance,173.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,6: Individual Discretionary,30132.0,29773.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,6: Individual Discretionary,36666.0,36437.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,6: Individual Discretionary,22438.0,22191.0
1: 1+ Veh/Adults > Veh,04: Walk,6: Individual Discretionary,23222.0,24886.0
1: 1+ Veh/Adults > Veh,05: Bike,6: Individual Discretionary,3066.0,2863.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,6: Individual Discretionary,4327.0,4104.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,6: Individual Discretionary,112.0,153.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,6: Individual Discretionary,2114.0,2061.0
1: 1+ Veh/Adults > Veh,09: TNC to Transit,6: Individual Discretionary,0.0,0.0
1: 1+ Veh/Adults > Veh,01: SOV,7: Joint Maintenance,0.0,0.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,7: Joint Maintenance,24139.0,0.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,7: Joint Maintenance,2899.0,0.0
1: 1+ Veh/Adults > Veh,04: Walk,7: Joint Maintenance,371.0,0.0
1: 1+ Veh/Adults > Veh,05: Bike,7: Joint Maintenance,21.0,0.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,7: Joint Maintenance,815.0,0.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,7: Joint Maintenance,12.0,0.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,7: Joint Maintenance,110.0,0.0
