period,skim_period,purpose,survey_freq_dep,survey_freq_arr,model_freq_dep,model_freq_arr
4.75,1: EA,9: Work-based,139.83498,67.663975,98,9.0
4.75,1: EA,4: Escort,1760.52055,1757.52805,1224,549.0
4.75,1: EA,6: Individual Discretionary,7302.465312,471.020971,2199,56.0
4.75,1: EA,5: Individual Maintenance,272.00416,62.26924,565,71.0
4.75,1: EA,8: Joint Discretionary,122.56248,13.01136,530,26.0
4.75,1: EA,7: Joint Maintenance,0.0,0.0,202,33.0
4.75,1: EA,3: School,0.0,0.0,3608,7.0
4.75,1: EA,Total,44988.8133,7583.151245,45536,795.0
4.75,1: EA,2: University,2451.356342,16.271525,197,0.0
4.75,1: EA,1: Work,32940.06947,5195.386124,36913,44.0
5.25,1: EA,9: Work-based,336.0729029,107.077459,177,25.0
5.25,1: EA,4: Escort,230.6808967,1142.4405,2532,1440.0
5.25,1: EA,6: Individual Discretionary,2642.468815,346.68594,2987,261.0
5.25,1: EA,5: Individual Maintenance,1535.868207,0.0,896,186.0
5.25,1: EA,8: Joint Discretionary,21.6856,109.55112,578,88.0
5.25,1: EA,7: Joint Maintenance,0.0,0.0,253,66.0
5.25,1: EA,3: School,0.0,0.0,4310,21.0
5.25,1: EA,Total,38703.74212,1918.200586,52926,2180.0
5.25,1: EA,2: University,244.856,0.0,198,2.0
5.25,1: EA,1: Work,33692.1097,212.4455667,40995,91.0
5.75,1: EA,9: Work-based,52.512775,217.250234,367,67.0
5.75,1: EA,4: Escort,566.8036865,64.9106,6604,3410.0
5.75,1: EA,6: Individual Discretionary,5286.587912,2052.602505,3849,660.0
5.75,1: EA,5: Individual Maintenance,263.1026889,30.556395,1429,402.0
5.75,1: EA,8: Joint Discretionary,126.72896,0.0,648,178.0
5.75,1: EA,7: Joint Maintenance,0.0,0.0,327,126.0
5.75,1: EA,3: School,1018.119827,0.0,5412,36.0
5.75,1: EA,Total,70554.0861,3319.909808,125516,5086.0
5.75,1: EA,2: University,4130.691067,0.0,215,2.0
5.75,1: EA,1: Work,59109.53919,954.5900734,106665,205.0
6.25,2: AM,9: Work-based,392.7274647,116.4007967,486,111.0
6.25,2: AM,4: Escort,4998.095985,871.6756789,12536,10689.0
6.25,2: AM,6: Individual Discretionary,7602.454117,2658.292091,4773,1367.0
6.25,2: AM,5: Individual Maintenance,1468.998407,224.2284,2037,773.0
6.25,2: AM,8: Joint Discretionary,1161.643861,0.0,681,419.0
6.25,2: AM,7: Joint Maintenance,0.0,0.0,453,234.0
6.25,2: AM,3: School,10256.42949,0.0,3983,37.0
6.25,2: AM,Total,124779.8,5510.21447,85668,13957.0
6.25,2: AM,2: University,5493.482791,0.0,1310,10.0
6.25,2: AM,1: Work,93405.9679,1639.617503,59409,317.0
6.75,2: AM,9: Work-based,2934.061627,1162.259255,653,172.0
6.75,2: AM,4: Escort,13610.91102,1602.032393,24169,20303.0
6.75,2: AM,6: Individual Discretionary,8918.520499,4218.441541,6231,2749.0
6.75,2: AM,5: Individual Maintenance,3409.440367,318.2223598,3252,1350.0
6.75,2: AM,8: Joint Discretionary,35.75344,1127.562881,635,638.0
6.75,2: AM,7: Joint Maintenance,171.26017,122.622275,524,355.0
