distbin,purpose,survey_freq,model_freq
1,4: Escort,89109.19087,197853
10,4: Escort,9947.355573,27035
11,4: Escort,5390.282474,25134
12,4: Escort,9847.081766,24428
13,4: Escort,4068.050273,23190
14,4: Escort,1250.082574,22188
15,4: Escort,4794.423333,20632
16,4: Escort,4267.769974,17879
17,4: Escort,937.7952717,15146
18,4: Escort,1567.465085,12170
19,4: Escort,1051.017673,8796
2,4: Escort,90097.69469,206333
20,4: Escort,1176.674589,5443
21,4: Escort,2484.202527,808
22,4: Escort,1020.178287,446
23,4: Escort,950.93776,312
24,4: Escort,1200.351705,229
25,4: Escort,264.4302833,208
26,4: Escort,32.75865,198
27,4: Escort,0.0,133
28,4: Escort,1085.903239,162
29,4: Escort,84.99708455,113
3,4: Escort,48856.14744,125589
30,4: Escort,16.2642,104
31,4: Escort,8.6518,97
32,4: Escort,2101.669108,118
33,4: Escort,0.0,120
34,4: Escort,0.0,95
35,4: Escort,9.7999,83
36,4: Escort,32.5284,69
37,4: Escort,0.0,99
38,4: Escort,0.0,108
39,4: Escort,53.7766,89
4,4: Escort,37589.50136,95980
40,4: Escort,0.0,97
41,4: Escort,594.162955,78
5,4: Escort,21856.55597,68047
6,4: Escort,26910.62077,51069
7,4: Escort,17084.95655,39193
8,4: Escort,9850.084547,32642
9,4: Escort,10142.30427,28892
1,5: Individual Maintenance,84086.61329,121301
10,5: Individual Maintenance,10892.75344,16354
11,5: Individual Maintenance,11816.75138,13421
12,5: Individual Maintenance,6356.559412,11028
13,5: Individual Maintenance,5545.432247,9284
14,5: Individual Maintenance,6520.946901,7102
15,5: Individual Maintenance,5036.015866,5327
16,5: Individual Maintenance,2973.691177,4229
17,5: Individual Maintenance,4677.889771,3101
18,5: Individual Maintenance,5763.721919,2180
19,5: Individual Maintenance,3551.35671,1663
2,5: Individual Maintenance,112926.7488,154203
20,5: Individual Maintenance,1582.738713,980
21,5: Individual Maintenance,4343.63832,789
22,5: Individual Maintenance,1955.282728,681
