tourdur,purpose,survey_freq,model_freq
0.5,9: Work-based,46624,14831.0
0.5,4: Escort,52515,321135.0
0.5,6: Individual Discretionary,21321,10166.0
0.5,5: Individual Maintenance,22441,55291.0
0.5,8: Joint Discretionary,1760,1567.0
0.5,7: Joint Maintenance,2150,6305.0
0.5,3: School,2528,4325.0
0.5,Total,152072,424140.0
0.5,2: University,1951,577.0
0.5,1: Work,778,9943.0
1,9: Work-based,76063,44767.0
1,4: Escort,161962,532883.0
1,6: Individual Discretionary,70617,47911.0
1,5: Individual Maintenance,100377,153967.0
1,8: Joint Discretionary,7789,8072.0
1,7: Joint Maintenance,11348,10991.0
1,3: School,10425,3916.0
1,Total,450100,814191.0
1,2: University,4587,474.0
1,1: Work,6928,11210.0
1.5,9: Work-based,49615,30758.0
1.5,4: Escort,62473,120884.0
1.5,6: Individual Discretionary,51656,69567.0
1.5,5: Individual Maintenance,88521,143613.0
1.5,8: Joint Discretionary,12572,13103.0
1.5,7: Joint Maintenance,12308,25040.0
1.5,3: School,1484,3625.0
1.5,Total,290705,419943.0
1.5,2: University,2840,382.0
1.5,1: Work,9233,12971.0
2,9: Work-based,21359,9022.0
2,4: Escort,23480,29960.0
2,6: Individual Discretionary,73948,94648.0
2,5: Individual Maintenance,70519,117986.0
2,8: Joint Discretionary,11400,16130.0
2,7: Joint Maintenance,12278,18517.0
2,3: School,2856,3526.0
2,Total,228476,307485.0
2,2: University,3506,2696.0
2,1: Work,9127,15000.0
2.5,9: Work-based,10459,7687.0
2.5,4: Escort,17710,12311.0
2.5,6: Individual Discretionary,64871,76383.0
2.5,5: Individual Maintenance,63897,76774.0
2.5,8: Joint Discretionary,14056,12572.0
2.5,7: Joint Maintenance,8487,11212.0
2.5,3: School,2454,3705.0
2.5,Total,203144,221787.0
2.5,2: University,10808,3896.0
2.5,1: Work,10397,17247.0
3,9: Work-based,4450,1617.0
3,4: Escort,13489,7463.0
3,6: Individual Discretionary,55943,56410.0
3,5: Individual Maintenance,46831,50240.0
3,8: Joint Discretionary,9275,10006.0
3,7: Joint Maintenance,5708,6721.0
3,3: School,5071,4457.0
3,Total,164103,160282.0
3,2: University,9956,3913.0
3,1: Work,13376,19455.0
3.5,9: Work-based,2105,1539.0
3.5,4: Escort,7939,6340.0
3.5,6: Individual Discretionary,43761,39669.0
3.5,5: Individual Maintenance,31321,33197.0
3.5,8: Joint Discretionary,11126,5785.0
3.5,7: Joint Maintenance,5972,4258.0
3.5,3: School,2490,5127.0
3.5,Total,131888,126103.0
3.5,2: University,11696,8197.0
3.5,1: Work,15475,21991.0
4,9: Work-based,3097,1677.0
4,4: Escort,4188,4908.0
4,6: Individual Discretionary,26180,30729.0
4,5: Individual Maintenance,19261,22553.0
4,8: Joint Discretionary,2676,3993.0
4,7: Joint Maintenance,3418,2746.0
4,3: School,3553,5918.0
4,Total,86896,107479.0
4,2: University,8588,10881.0
4,1: Work,15931,24074.0
4.5,9: Work-based,1937,1191.0
4.5,4: Escort,4602,3831.0
4.5,6: Individual Discretionary,26982,23407.0
4.5,5: Individual Maintenance,17817,14934.0
4.5,8: Joint Discretionary,1530,2538.0
4.5,7: Joint Maintenance,1277,1616.0
4.5,3: School,4351,7170.0
4.5,Total,92560,92343.0
4.5,2: University,8693,11339.0
4.5,1: Work,25367,26317.0
5,9: Work-based,598,819.0
5,4: Escort,4289,2933.0
5,6: Individual Discretionary,22785,13784.0
5,5: Individual Maintenance,14670,10002.0
5,8: Joint Discretionary,3748,1368.0
5,7: Joint Maintenance,268,1076.0
5,3: School,8316,9271.0
5,Total,98301,76776.0
5,2: University,11141,9418.0
5,1: Work,32482,28105.0
5.5,9: Work-based,1854,572.0
5.5,4: Escort,2068,2201.0
5.5,6: Individual Discretionary,13109,9652.0
5.5,5: Individual Maintenance,4933,6862.0
5.5,8: Joint Discretionary,1148,933.0
5.5,7: Joint Maintenance,285,686.0
5.5,3: School,2413,11729.0
5.5,Total,48952,69735.0
5.5,2: University,7614,7945.0
5.5,1: Work,15524,29155.0
6,9: Work-based,508,373.0
6,4: Escort,4873,1764.0
6,6: Individual Discretionary,11757,6838.0
6,5: Individual Maintenance,6542,4529.0
6,8: Joint Discretionary,149,624.0
6,7: Joint Maintenance,1851,425.0
6,3: School,7758,16345.0
6,Total,66461,67787.0
6,2: University,13870,6886.0
6,1: Work,19149,30003.0
6.5,9: Work-based,1260,254.0
6.5,4: Escort,2210,1640.0
6.5,6: Individual Discretionary,8048,4772.0
6.5,5: Individual Maintenance,11199,3077.0
6.5,8: Joint Discretionary,220,403.0
6.5,7: Joint Maintenance,69,261.0
6.5,3: School,4809,27343.0
6.5,Total,52070,74229.0
6.5,2: University,4739,6456.0
6.5,1: Work,19512,30023.0
7,9: Work-based,55,176.0
7,4: Escort,942,1500.0
7,6: Individual Discretionary,5669,3443.0
7,5: Individual Maintenance,3558,2042.0
7,8: Joint Discretionary,209,259.0
7,7: Joint Maintenance,143,173.0
7,3: School,14555,48121.0
7,Total,56794,90749.0
7,2: University,10599,5523.0
