stop_period,stop_skim_period,tour_purpose,survey_freq,model_freq
4.75,1: EA,1: Work,44708,38470
5.25,1: EA,1: Work,40725,45668
5.75,1: EA,1: Work,71421,113994
6.25,2: AM,1: Work,119157,83851
6.75,2: AM,1: Work,152903,122921
7.25,2: AM,1: Work,212649,176991
7.75,2: AM,1: Work,195611,227104
8.25,2: AM,1: Work,142005,176011
8.75,2: AM,1: Work,119906,121999
9.25,3: MD,1: Work,86901,81005
9.75,3: MD,1: Work,69805,62232
10.25,3: MD,1: Work,52365,41174
10.75,3: MD,1: Work,50708,39925
11.25,3: MD,1: Work,54435,42279
11.75,3: MD,1: Work,80081,45718
12.25,3: MD,1: Work,86967,47541
12.75,3: MD,1: Work,83110,54262
13.25,3: MD,1: Work,74509,60494
13.75,3: MD,1: Work,69206,68137
14.25,3: MD,1: Work,95097,90442
14.75,3: MD,1: Work,118841,97675
15.25,3: MD,1: Work,131405,132531
15.75,4: PM,1: Work,136869,141341
16.25,4: PM,1: Work,174187,168808
16.75,4: PM,1: Work,190854,218754
17.25,4: PM,1: Work,193692,250510
17.75,4: PM,1: Work,152425,220790
18.25,4: PM,1: Work,123806,157583
18.75,4: PM,1: Work,99212,101627
19.25,5: EV,1: Work,67351,91237
19.75,5: EV,1: Work,53808,62951
20.25,5: EV,1: Work,53716,46714
20.75,5: EV,1: Work,38202,37075
21.25,5: EV,1: Work,29866,31256
21.75,5: EV,1: Work,18968,26692
22.25,5: EV,1: Work,12538,23846
22.75,5: EV,1: Work,14032,21761
23.25,5: EV,1: Work,7180,21876
23.75,5: EV,1: Work,11761,24887
24.25,5: EV,1: Work,17757,41509
4.75,1: EA,2: University,2516,210
5.25,1: EA,2: University,254,231
5.75,1: EA,2: University,4933,251
6.25,2: AM,2: University,9645,1561
6.75,2: AM,2: University,13593,2522
7.25,2: AM,2: University,33912,11282
7.75,2: AM,2: University,23557,16734
8.25,2: AM,2: University,31392,11575
8.75,2: AM,2: University,22912,13995
9.25,3: MD,2: University,21441,11252
9.75,3: MD,2: University,19160,10261
10.25,3: MD,2: University,17192,8910
10.75,3: MD,2: University,13882,9837
11.25,3: MD,2: University,15600,9012
11.75,3: MD,2: University,18607,10534
12.25,3: MD,2: University,20413,17317
12.75,3: MD,2: University,22118,11257
13.25,3: MD,2: University,18279,9837
13.75,3: MD,2: University,22614,10120
14.25,3: MD,2: University,24807,9385
14.75,3: MD,2: University,18743,9170
15.25,3: MD,2: University,20895,9743
15.75,4: PM,2: University,23327,9120
16.25,4: PM,2: University,9486,8901
16.75,4: PM,2: University,12288,12035
17.25,4: PM,2: University,18426,10799
17.75,4: PM,2: University,28456,9550
18.25,4: PM,2: University,22445,8930
18.75,4: PM,2: University,13843,8268
19.25,5: EV,2: University,7338,6104
19.75,5: EV,2: University,7105,6042
20.25,5: EV,2: University,10827,5949
20.75,5: EV,2: University,11595,5408
21.25,5: EV,2: University,11939,4902
21.75,5: EV,2: University,7316,3935
22.25,5: EV,2: University,5722,3309
22.75,5: EV,2: University,748,2543
23.25,5: EV,2: University,1925,1770
23.75,5: EV,2: University,185,1431
24.25,5: EV,2: University,7236,1015
4.75,1: EA,3: School,0,4187
5.25,1: EA,3: School,0,5414
5.75,1: EA,3: School,1034,6647
6.25,2: AM,3: School,11224,4961
6.75,2: AM,3: School,44257,52324
7.25,2: AM,3: School,119584,189139
7.75,2: AM,3: School,112112,244467
8.25,2: AM,3: School,63330,147999
8.75,2: AM,3: School,35065,78672
9.25,3: MD,3: School,8535,19454
9.75,3: MD,3: School,2635,12114
10.25,3: MD,3: School,2338,8967
10.75,3: MD,3: School,4100,9941
11.25,3: MD,3: School,4730,9725
11.75,3: MD,3: School,6623,11847
12.25,3: MD,3: School,8763,14676
12.75,3: MD,3: School,25622,18809
13.25,3: MD,3: School,21162,23340
13.75,3: MD,3: School,24662,28319
14.25,3: MD,3: School,41946,69507
14.75,3: MD,3: School,89308,171163
15.25,3: MD,3: School,83042,166386
15.75,4: PM,3: School,52857,107963
16.25,4: PM,3: School,40449,63046
16.75,4: PM,3: School,47772,54642
17.25,4: PM,3: School,49672,51890
17.75,4: PM,3: School,33796,42503
18.25,4: PM,3: School,23863,21802
18.75,4: PM,3: School,21394,11920
19.25,5: EV,3: School,21396,7300
19.75,5: EV,3: School,11210,4126
20.25,5: EV,3: School,25299,2369
20.75,5: EV,3: School,10262,1323
21.25,5: EV,3: School,3823,728
21.75,5: EV,3: School,3130,774
22.25,5: EV,3: School,185,748
22.75,5: EV,3: School,20,792
23.25,5: EV,3: School,3,771
23.75,5: EV,3: School,0,755
24.25,5: EV,3: School,59,742
4.75,1: EA,4: Escort,4835,2071
5.25,1: EA,4: Escort,1538,4955
5.75,1: EA,4: Escort,909,12884
6.25,2: AM,4: Escort,7393,29594
6.75,2: AM,4: Escort,16823,58177
7.25,2: AM,4: Escort,47508,156970
7.75,2: AM,4: Escort,88221,302511
8.25,2: AM,4: Escort,57096,267612
8.75,2: AM,4: Escort,43609,162081
9.25,3: MD,4: Escort,23837,52411
9.75,3: MD,4: Escort,19209,37892
10.25,3: MD,4: Escort,17794,31382
10.75,3: MD,4: Escort,15180,34043
11.25,3: MD,4: Escort,17005,33197
11.75,3: MD,4: Escort,22234,34188
12.25,3: MD,4: Escort,21507,36801
12.75,3: MD,4: Escort,25955,40551
13.25,3: MD,4: Escort,27929,45176
13.75,3: MD,4: Escort,36241,88692
14.25,3: MD,4: Escort,54168,190146
14.75,3: MD,4: Escort,86643,243012
15.25,3: MD,4: Escort,76254,230675
15.75,4: PM,4: Escort,53305,137310
16.25,4: PM,4: Escort,50916,118631
16.75,4: PM,4: Escort,51868,77047
17.25,4: PM,4: Escort,44627,63783
17.75,4: PM,4: Escort,39425,58157
18.25,4: PM,4: Escort,42538,51532
18.75,4: PM,4: Escort,28896,45181
19.25,5: EV,4: Escort,33075,42016
19.75,5: EV,4: Escort,20201,37981
20.25,5: EV,4: Escort,18326,32124
