trip_mode,tour_mode,purpose,survey_value,model_value
01: SOV,01: SOV,1: Work,2483874.0,2528171.0
02: Shared Ride 2,01: SOV,1: Work,0.0,0.0
03: Shared Ride 3+,01: SOV,1: Work,0.0,0.0
04: Walk,01: SOV,1: Work,0.0,0.0
05: Bike,01: SOV,1: Work,0.0,0.0
06: Walk to Transit,01: SOV,1: Work,0.0,0.0
07: PNR to Transit,01: SOV,1: Work,0.0,0.0
08: KNR to Transit,01: SOV,1: Work,0.0,0.0
09: TNC to Transit,01: SOV,1: Work,0.0,0.0
01: SOV,02: Shared Ride 2,1: Work,278922.0,300620.0
02: Shared Ride 2,02: Shared Ride 2,1: Work,301180.0,321650.0
03: Shared Ride 3+,02: Shared Ride 2,1: Work,922.0,0.0
04: Walk,02: Shared Ride 2,1: Work,20785.0,20142.0
05: Bike,02: Shared Ride 2,1: Work,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,1: Work,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,1: Work,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,1: Work,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,1: Work,0.0,0.0
01: SOV,03: Shared Ride 3+,1: Work,112755.0,116478.0
02: Shared Ride 2,03: Shared Ride 3+,1: Work,38576.0,39886.0
03: Shared Ride 3+,03: Shared Ride 3+,1: Work,100966.0,106823.0
04: Walk,03: Shared Ride 3+,1: Work,7089.0,7324.0
05: Bike,03: Shared Ride 3+,1: Work,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,1: Work,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,1: Work,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,1: Work,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,1: Work,0.0,0.0
01: SOV,04: Walk,1: Work,0.0,0.0
02: Shared Ride 2,04: Walk,1: Work,0.0,0.0
03: Shared Ride 3+,04: Walk,1: Work,0.0,0.0
04: Walk,04: Walk,1: Work,25593.0,45266.0
05: Bike,04: Walk,1: Work,0.0,0.0
06: Walk to Transit,04: Walk,1: Work,0.0,0.0
07: PNR to Transit,04: Walk,1: Work,0.0,0.0
08: KNR to Transit,04: Walk,1: Work,0.0,0.0
09: TNC to Transit,04: Walk,1: Work,0.0,0.0
01: SOV,05: Bike,1: Work,8070.0,0.0
02: Shared Ride 2,05: Bike,1: Work,5732.0,0.0
03: Shared Ride 3+,05: Bike,1: Work,1031.0,0.0
04: Walk,05: Bike,1: Work,902.0,0.0
05: Bike,05: Bike,1: Work,27305.0,48427.0
06: Walk to Transit,05: Bike,1: Work,0.0,0.0
07: PNR to Transit,05: Bike,1: Work,0.0,0.0
08: KNR to Transit,05: Bike,1: Work,0.0,0.0
09: TNC to Transit,05: Bike,1: Work,0.0,0.0
01: SOV,06: Walk to Transit,1: Work,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,1: Work,1656.0,4532.0
03: Shared Ride 3+,06: Walk to Transit,1: Work,565.0,1793.0
04: Walk,06: Walk to Transit,1: Work,2804.0,6388.0
05: Bike,06: Walk to Transit,1: Work,84.0,0.0
06: Walk to Transit,06: Walk to Transit,1: Work,68600.0,68758.0
07: PNR to Transit,06: Walk to Transit,1: Work,0.0,0.0
08: KNR to Transit,06: Walk to Transit,1: Work,0.0,0.0
09: TNC to Transit,06: Walk to Transit,1: Work,0.0,0.0
01: SOV,07: PNR to Transit,1: Work,4262.0,1792.0
02: Shared Ride 2,07: PNR to Transit,1: Work,3945.0,1698.0
03: Shared Ride 3+,07: PNR to Transit,1: Work,1001.0,503.0
04: Walk,07: PNR to Transit,1: Work,935.0,345.0
05: Bike,07: PNR to Transit,1: Work,0.0,0.0
06: Walk to Transit,07: PNR to Transit,1: Work,1752.0,1429.0
07: PNR to Transit,07: PNR to Transit,1: Work,6943.0,5688.0
08: KNR to Transit,07: PNR to Transit,1: Work,34.0,0.0
09: TNC to Transit,07: PNR to Transit,1: Work,0.0,0.0
01: SOV,08: KNR to Transit,1: Work,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,1: Work,14432.0,7426.0
03: Shared Ride 3+,08: KNR to Transit,1: Work,2204.0,1395.0
04: Walk,08: KNR to Transit,1: Work,3083.0,1238.0
05: Bike,08: KNR to Transit,1: Work,0.0,0.0
06: Walk to Transit,08: KNR to Transit,1: Work,3033.0,2455.0
07: PNR to Transit,08: KNR to Transit,1: Work,0.0,0.0
08: KNR to Transit,08: KNR to Transit,1: Work,9612.0,7972.0
09: TNC to Transit,08: KNR to Transit,1: Work,0.0,0.0
01: SOV,13: School Bus,1: Work,0.0,0.0
02: Shared Ride 2,13: School Bus,1: Work,0.0,0.0
03: Shared Ride 3+,13: School Bus,1: Work,0.0,0.0
04: Walk,13: School Bus,1: Work,0.0,0.0
05: Bike,13: School Bus,1: Work,0.0,0.0
06: Walk to Transit,13: School Bus,1: Work,0.0,0.0
07: PNR to Transit,13: School Bus,1: Work,0.0,0.0
08: KNR to Transit,13: School Bus,1: Work,0.0,0.0
09: TNC to Transit,13: School Bus,1: Work,0.0,0.0
01: SOV,Total,1: Work,2887883.0,2947061.0
02: Shared Ride 2,Total,1: Work,365521.0,376203.0
03: Shared Ride 3+,Total,1: Work,106689.0,110807.0
04: Walk,Total,1: Work,61192.0,82555.0
05: Bike,Total,1: Work,27390.0,48427.0
06: Walk to Transit,Total,1: Work,73385.0,72646.0
07: PNR to Transit,Total,1: Work,6943.0,5688.0
08: KNR to Transit,Total,1: Work,9646.0,7973.0
09: TNC to Transit,Total,1: Work,0.0,0.0
01: SOV,01: SOV,2: University,147841.0,140017.0
02: Shared Ride 2,01: SOV,2: University,0.0,0.0
03: Shared Ride 3+,01: SOV,2: University,0.0,0.0
04: Walk,01: SOV,2: University,0.0,0.0
05: Bike,01: SOV,2: University,0.0,0.0
06: Walk to Transit,01: SOV,2: University,0.0,0.0
07: PNR to Transit,01: SOV,2: University,0.0,0.0
08: KNR to Transit,01: SOV,2: University,0.0,0.0
09: TNC to Transit,01: SOV,2: University,0.0,0.0
01: SOV,02: Shared Ride 2,2: University,17176.0,17723.0
02: Shared Ride 2,02: Shared Ride 2,2: University,36342.0,36738.0
03: Shared Ride 3+,02: Shared Ride 2,2: University,0.0,0.0
04: Walk,02: Shared Ride 2,2: University,4900.0,5647.0
05: Bike,02: Shared Ride 2,2: University,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,2: University,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,2: University,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,2: University,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,2: University,0.0,0.0
01: SOV,03: Shared Ride 3+,2: University,4477.0,5461.0
02: Shared Ride 2,03: Shared Ride 3+,2: University,4191.0,4871.0
03: Shared Ride 3+,03: Shared Ride 3+,2: University,20180.0,25398.0
04: Walk,03: Shared Ride 3+,2: University,1256.0,1385.0
05: Bike,03: Shared Ride 3+,2: University,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,2: University,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,2: University,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,2: University,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,2: University,0.0,0.0
01: SOV,04: Walk,2: University,0.0,0.0
02: Shared Ride 2,04: Walk,2: University,0.0,0.0
03: Shared Ride 3+,04: Walk,2: University,0.0,0.0
04: Walk,04: Walk,2: University,5740.0,11453.0
05: Bike,04: Walk,2: University,0.0,0.0
06: Walk to Transit,04: Walk,2: University,0.0,0.0
07: PNR to Transit,04: Walk,2: University,0.0,0.0
08: KNR to Transit,04: Walk,2: University,0.0,0.0
09: TNC to Transit,04: Walk,2: University,0.0,0.0
01: SOV,05: Bike,2: University,343.0,0.0
02: Shared Ride 2,05: Bike,2: University,100.0,0.0
03: Shared Ride 3+,05: Bike,2: University,95.0,0.0
04: Walk,05: Bike,2: University,121.0,0.0
05: Bike,05: Bike,2: University,577.0,3807.0
06: Walk to Transit,05: Bike,2: University,0.0,0.0
07: PNR to Transit,05: Bike,2: University,0.0,0.0
08: KNR to Transit,05: Bike,2: University,0.0,0.0
09: TNC to Transit,05: Bike,2: University,0.0,0.0
01: SOV,06: Walk to Transit,2: University,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,2: University,1357.0,2201.0
03: Shared Ride 3+,06: Walk to Transit,2: University,209.0,413.0
04: Walk,06: Walk to Transit,2: University,4699.0,8819.0
05: Bike,06: Walk to Transit,2: University,18.0,0.0
06: Walk to Transit,06: Walk to Transit,2: University,29772.0,28729.0
07: PNR to Transit,06: Walk to Transit,2: University,0.0,0.0
08: KNR to Transit,06: Walk to Transit,2: University,0.0,0.0
09: TNC to Transit,06: Walk to Transit,2: University,836.0,0.0
01: SOV,07: PNR to Transit,2: University,326.0,179.0
02: Shared Ride 2,07: PNR to Transit,2: University,1469.0,906.0
03: Shared Ride 3+,07: PNR to Transit,2: University,412.0,175.0
04: Walk,07: PNR to Transit,2: University,528.0,0.0
05: Bike,07: PNR to Transit,2: University,0.0,0.0
06: Walk to Transit,07: PNR to Transit,2: University,931.0,0.0
07: PNR to Transit,07: PNR to Transit,2: University,1783.0,3580.0
08: KNR to Transit,07: PNR to Transit,2: University,0.0,0.0
09: TNC to Transit,07: PNR to Transit,2: University,0.0,0.0
01: SOV,08: KNR to Transit,2: University,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,2: University,0.0,2409.0
03: Shared Ride 3+,08: KNR to Transit,2: University,0.0,99.0
04: Walk,08: KNR to Transit,2: University,8142.0,240.0
05: Bike,08: KNR to Transit,2: University,0.0,0.0
06: Walk to Transit,08: KNR to Transit,2: University,4575.0,636.0
07: PNR to Transit,08: KNR to Transit,2: University,0.0,0.0
08: KNR to Transit,08: KNR to Transit,2: University,3259.0,3278.0
09: TNC to Transit,08: KNR to Transit,2: University,0.0,0.0
01: SOV,13: School Bus,2: University,0.0,0.0
02: Shared Ride 2,13: School Bus,2: University,0.0,0.0
03: Shared Ride 3+,13: School Bus,2: University,0.0,0.0
04: Walk,13: School Bus,2: University,0.0,0.0
05: Bike,13: School Bus,2: University,0.0,0.0
06: Walk to Transit,13: School Bus,2: University,0.0,0.0
07: PNR to Transit,13: School Bus,2: University,0.0,0.0
